Compra; Venda; Maior Valor; Menor Valor; Variacao; Time Stamp; Data e Hora
Compra; Venda; Maior Valor; Menor Valor; Variacao; Time Stamp; Data e Hora
Compra; Venda; Maior Valor; Menor Valor; Variacao; Time Stamp; Data e Hora
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:03.751849
Compra; Venda; Maior Valor; Menor Valor; Variacao; Time Stamp; Data e Hora
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:05.142258
Compra; Venda; Maior Valor; Menor Valor; Variacao; Time Stamp; Data e Hora
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:06.310710
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:11.368969
120.5;120.577;121.647;118.507;-1113;1675452780;2023-02-03 16:33:00;2023-02-03 16:34:16.438997
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:21.528883
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:26.604629
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:31.692533
120.516;120.576;121.647;118.507;-1113;1675452816;2023-02-03 16:33:36;2023-02-03 16:34:36.796890
120.516;120.576;121.647;118.507;-1113;1675452816;2023-02-03 16:33:36;2023-02-03 16:34:41.878703
120.5;120.571;121.647;118.507;-1113;1675452724;2023-02-03 16:32:04;2023-02-03 16:34:46.952538
120.513;120.577;121.647;118.507;-1113;1675452798;2023-02-03 16:33:18;2023-02-03 16:34:52.041049
120.516;120.576;121.647;118.507;-1113;1675452816;2023-02-03 16:33:36;2023-02-03 16:34:57.105553
120.516;120.576;121.647;118.507;-1113;1675452816;2023-02-03 16:33:36;2023-02-03 16:35:02.302277
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:35:07.387505
120.516;120.576;121.647;118.507;-1113;1675452816;2023-02-03 16:33:36;2023-02-03 16:35:12.477142
120.513;120.577;121.647;118.507;-1113;1675452798;2023-02-03 16:33:18;2023-02-03 16:35:17.540726
120.513;120.577;121.647;118.507;-1113;1675452798;2023-02-03 16:33:18;2023-02-03 16:35:22.606198
120.516;120.576;121.647;118.507;-1113;1675452816;2023-02-03 16:33:36;2023-02-03 16:35:27.682717
120.513;120.577;121.647;118.507;-1113;1675452798;2023-02-03 16:33:18;2023-02-03 16:35:32.756740
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:35:37.827266
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:35:42.903231
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:35:47.969534
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:35:53.040740
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:35:58.109395
120.517;120.577;121.647;118.507;-1113;1675452845;2023-02-03 16:34:05;2023-02-03 16:36:03.173292
120.518;120.577;121.647;118.507;-1053;1675452868;2023-02-03 16:34:28;2023-02-03 16:36:08.253562
120.518;120.577;121.647;118.507;-1059;1675452900;2023-02-03 16:35:00;2023-02-03 16:36:13.351550
